!STATION,ANTENNA-TYPE,ANTENNA-ID,ETRS-X,ETRS-Y,ETRS-Z,RCU-X,RCU-Y
! from https://github.com/lofar-astron/lofar-antenna-positions Edited to leave only Dutch LBA
CS002,LBA,1,3826575.443,461022.381,5064894.064,2,3
CS002,LBA,2,3826576.124,461024.729,5064893.340,4,5
CS002,LBA,3,3826578.262,461024.987,5064891.712,6,7
CS002,LBA,4,3826579.481,461022.867,5064890.988,8,9
CS002,LBA,5,3826578.800,461020.519,5064891.712,10,11
CS002,LBA,6,3826576.662,461020.261,5064893.340,12,13
CS002,LBA,7,3826574.389,461018.499,5064895.205,14,15
CS002,LBA,8,3826572.869,461022.071,5064896.024,16,17
CS002,LBA,9,3826573.497,461025.901,5064895.206,18,19
CS002,LBA,10,3826575.981,461028.199,5064893.133,20,21
CS002,LBA,11,3826579.158,461027.888,5064890.777,22,23
CS002,LBA,12,3826581.541,461025.114,5064889.239,24,25
CS002,LBA,13,3826582.015,461021.174,5064889.239,26,27
CS002,LBA,14,3826580.359,461017.914,5064890.777,28,29
CS002,LBA,15,3826577.348,461016.857,5064893.133,30,31
CS002,LBA,16,3826576.625,461013.450,5064893.983,32,33
CS002,LBA,17,3826573.729,461014.193,5064896.090,34,35
CS002,LBA,18,3826570.534,461017.473,5064898.192,36,37
CS002,LBA,19,3826569.465,461024.669,5064898.344,38,39
CS002,LBA,20,3826570.205,461027.700,5064897.514,40,41
CS002,LBA,21,3826572.423,461030.819,5064895.568,42,43
CS002,LBA,22,3826575.721,461031.683,5064893.014,44,45
CS002,LBA,23,3826580.324,461030.641,5064889.653,46,47
CS002,LBA,24,3826583.738,461028.248,5064887.307,48,49
CS002,LBA,25,3826585.352,461024.261,5064886.456,50,51
CS002,LBA,26,3826584.795,461020.431,5064887.220,52,53
CS002,LBA,27,3826582.917,461016.329,5064889.000,54,55
CS002,LBA,28,3826579.892,461013.805,5064891.499,56,57
CS002,LBA,29,3826575.077,461008.807,5064895.565,58,59
CS002,LBA,30,3826572.097,461009.856,5064897.707,60,61
CS002,LBA,31,3826570.313,461012.159,5064898.838,62,63
CS002,LBA,32,3826567.366,461019.423,5064900.394,64,65
CS002,LBA,33,3826565.462,461021.364,5064901.648,66,67
CS002,LBA,34,3826567.557,461028.214,5064899.456,68,69
CS002,LBA,35,3826569.895,461032.194,5064897.341,70,71
CS002,LBA,36,3826572.165,461036.517,5064895.246,72,73
